time of beginning	 average(mean value)
06/01/2025 00:00:00	49.99
06/01/2025 01:00:00	50.49
06/01/2025 02:00:00	49.63
06/01/2025 03:00:00	50.09
06/01/2025 04:00:00	49.51
06/01/2025 05:00:00	49.32
06/01/2025 06:00:00	50.80
06/01/2025 07:00:00	50.23
06/01/2025 08:00:00	50.52
06/01/2025 09:00:00	50.39
06/01/2025 10:00:00	49.86
06/01/2025 11:00:00	50.65
06/01/2025 12:00:00	49.44
06/01/2025 13:00:00	49.91
06/01/2025 14:00:00	49.74
06/01/2025 15:00:00	50.37
06/01/2025 16:00:00	49.32
06/01/2025 17:00:00	49.41
06/01/2025 18:00:00	49.85
06/01/2025 19:00:00	49.85
06/01/2025 20:00:00	49.84
06/01/2025 21:00:00	50.11
06/01/2025 22:00:00	50.12
06/01/2025 23:00:00	49.26
06/02/2025 00:00:00	49.82
06/02/2025 01:00:00	50.19
06/02/2025 02:00:00	50.76
06/02/2025 03:00:00	50.30
06/02/2025 04:00:00	50.17
06/02/2025 05:00:00	49.92
06/02/2025 06:00:00	50.92
06/02/2025 07:00:00	49.94
06/02/2025 08:00:00	49.95
06/02/2025 09:00:00	50.55
06/02/2025 10:00:00	49.09
06/02/2025 11:00:00	50.34
06/02/2025 12:00:00	50.31
06/02/2025 13:00:00	49.52
06/02/2025 14:00:00	50.21
06/02/2025 15:00:00	50.36
06/02/2025 16:00:00	51.01
06/02/2025 17:00:00	50.22
06/02/2025 18:00:00	50.36
06/02/2025 19:00:00	49.38
06/02/2025 20:00:00	50.18
06/02/2025 21:00:00	49.92
06/02/2025 22:00:00	50.55
06/02/2025 23:00:00	49.57
06/03/2025 00:00:00	50.23
06/03/2025 01:00:00	50.10
06/03/2025 02:00:00	49.97
06/03/2025 03:00:00	49.90
06/03/2025 04:00:00	49.89
06/03/2025 05:00:00	50.15
06/03/2025 06:00:00	50.56
06/03/2025 07:00:00	50.50
06/03/2025 08:00:00	49.58
06/03/2025 09:00:00	50.60
06/03/2025 10:00:00	50.41
06/03/2025 11:00:00	50.07
06/03/2025 12:00:00	49.96
06/03/2025 13:00:00	49.63
06/03/2025 14:00:00	50.44
06/03/2025 15:00:00	49.92
06/03/2025 16:00:00	49.56
06/03/2025 17:00:00	49.73
06/03/2025 18:00:00	49.22
06/03/2025 19:00:00	50.11
06/03/2025 20:00:00	50.45
06/03/2025 21:00:00	50.07
06/03/2025 22:00:00	49.75
06/03/2025 23:00:00	50.13
06/04/2025 00:00:00	49.09
06/04/2025 01:00:00	50.35
06/04/2025 02:00:00	50.21
06/04/2025 03:00:00	50.21
06/04/2025 04:00:00	48.96
06/04/2025 05:00:00	50.54
06/04/2025 06:00:00	50.24
06/04/2025 07:00:00	50.08
06/04/2025 08:00:00	49.96
06/04/2025 09:00:00	49.93
06/04/2025 10:00:00	50.49
06/04/2025 11:00:00	50.16
06/04/2025 12:00:00	49.95
06/04/2025 13:00:00	49.72
06/04/2025 14:00:00	50.76
06/04/2025 15:00:00	49.69
06/04/2025 16:00:00	50.21
06/04/2025 17:00:00	49.54
06/04/2025 18:00:00	49.58
06/04/2025 19:00:00	50.28
06/04/2025 20:00:00	49.85
06/04/2025 21:00:00	49.75
06/04/2025 22:00:00	49.78
06/04/2025 23:00:00	50.49
06/05/2025 00:00:00	49.86
06/05/2025 01:00:00	49.26
06/05/2025 02:00:00	50.44
06/05/2025 03:00:00	50.33
06/05/2025 04:00:00	49.52
06/05/2025 05:00:00	50.05
06/05/2025 06:00:00	49.22
06/05/2025 07:00:00	50.05
06/05/2025 08:00:00	50.34
06/05/2025 09:00:00	49.88
06/05/2025 10:00:00	49.73
06/05/2025 11:00:00	50.21
06/05/2025 12:00:00	50.37
06/05/2025 13:00:00	49.77
06/05/2025 14:00:00	49.96
06/05/2025 15:00:00	49.87
06/05/2025 16:00:00	50.15
06/05/2025 17:00:00	50.08
06/05/2025 18:00:00	49.98
06/05/2025 19:00:00	51.15
06/05/2025 20:00:00	50.36
06/05/2025 21:00:00	49.62
06/05/2025 22:00:00	50.19
06/05/2025 23:00:00	50.22
06/06/2025 00:00:00	50.21
06/06/2025 01:00:00	50.20
06/06/2025 02:00:00	49.81
06/06/2025 03:00:00	49.77
06/06/2025 04:00:00	49.89
